distance	count.Inner	count.Outer	count.Right	count.Left	sum	log10count.Inner	log10count.Outer	log10count.Right	log10count.Left	log10sum	proportion.Inner	proportion.Outer	proportion.Right	proportion.Left	allpossible_sumcount	prob	log10prob
1.100	1715	2554	165	230	4664	3.234	3.407	2.217	2.362	3.669	0.368	0.548	0.035	0.049	2.493E+08	1.871E-05	-4.728
1.300	3118	3591	260	374	7343	3.494	3.555	2.415	2.573	3.866	0.425	0.489	0.035	0.051	2.493E+08	2.946E-05	-4.531
1.500	8051	4732	487	614	13884	3.906	3.675	2.688	2.788	4.143	0.580	0.341	0.035	0.044	2.493E+08	5.570E-05	-4.254
1.700	77944	7478	2218	2453	90093	4.892	3.874	3.346	3.390	4.955	0.865	0.083	0.025	0.027	2.493E+08	3.615E-04	-3.442
1.900	501330	11928	21155	21381	555794	5.700	4.077	4.325	4.330	5.745	0.902	0.021	0.038	0.038	2.493E+08	2.230E-03	-2.652
2.100	1512342	24755	46559	46534	1630190	6.180	4.394	4.668	4.668	6.212	0.928	0.015	0.029	0.029	2.493E+08	6.540E-03	-2.184
2.300	7890020	66665	93149	91976	8141810	6.897	4.824	4.969	4.964	6.911	0.969	0.008	0.011	0.011	2.493E+08	3.267E-02	-1.486
2.500	62218376	198656	208761	208675	62834468	7.794	5.298	5.320	5.319	7.798	0.990	0.003	0.003	0.003	2.493E+08	2.521E-01	-0.598
2.700	46333190	439282	529657	530078	47832207	7.666	5.643	5.724	5.724	7.680	0.969	0.009	0.011	0.011	2.493E+08	1.919E-01	-0.717
2.900	3139423	776991	1003247	1005170	5924831	6.497	5.890	6.001	6.002	6.773	0.530	0.131	0.169	0.170	2.492E+08	2.377E-02	-1.624
3.100	1613526	1399431	1550721	1548128	6111806	6.208	6.146	6.191	6.190	6.786	0.264	0.229	0.254	0.253	2.492E+08	2.452E-02	-1.610
3.300	2343159	2228588	2280453	2274276	9126476	6.370	6.348	6.358	6.357	6.960	0.257	0.244	0.250	0.249	2.492E+08	3.662E-02	-1.436
3.500	3278554	3201815	3202369	3196865	12879603	6.516	6.505	6.505	6.505	7.110	0.255	0.249	0.249	0.248	2.492E+08	5.167E-02	-1.287
3.700	4320151	4256088	4220095	4216841	17013175	6.635	6.629	6.625	6.625	7.231	0.254	0.250	0.248	0.248	2.492E+08	6.826E-02	-1.166
3.900	5226003	5166353	5141429	5130317	20664102	6.718	6.713	6.711	6.710	7.315	0.253	0.250	0.249	0.248	2.492E+08	8.291E-02	-1.081
4.100	5865243	5845517	5792649	5790420	23293829	6.768	6.767	6.763	6.763	7.367	0.252	0.251	0.249	0.249	2.492E+08	9.346E-02	-1.029
4.300	6266333	6265684	6247801	6238241	25018059	6.797	6.797	6.796	6.795	7.398	0.250	0.250	0.250	0.249	2.492E+08	1.004E-01	-0.998
4.500	6685644	6681107	6705748	6697025	26769524	6.825	6.825	6.826	6.826	7.428	0.250	0.250	0.250	0.250	2.492E+08	1.074E-01	-0.969
4.700	7244003	7244675	7258575	7252500	28999753	6.860	6.860	6.861	6.860	7.462	0.250	0.250	0.250	0.250	2.492E+08	1.164E-01	-0.934
