columnx	columny	color	offcolor	name
distance	log10prob_per_chr.1	#ff0000	#999999	1
distance	log10prob_per_chr.10	#ff2d00	#999999	10
distance	log10prob_per_chr.11	#ff5a00	#999999	11
distance	log10prob_per_chr.12	#ff8700	#999999	12
distance	log10prob_per_chr.13	#ffb400	#999999	13
distance	log10prob_per_chr.14	#ffe100	#999999	14
distance	log10prob_per_chr.15	#f0ff00	#999999	15
distance	log10prob_per_chr.16	#c3ff00	#999999	16
distance	log10prob_per_chr.17	#96ff00	#999999	17
distance	log10prob_per_chr.18	#69ff00	#999999	18
distance	log10prob_per_chr.19	#3cff00	#999999	19
distance	log10prob_per_chr.2	#0fff00	#999999	2
distance	log10prob_per_chr.20	#00ff1e	#999999	20
distance	log10prob_per_chr.21	#00ff4b	#999999	21
distance	log10prob_per_chr.22	#00ff78	#999999	22
distance	log10prob_per_chr.3	#00ffa5	#999999	3
distance	log10prob_per_chr.4	#00ffd2	#999999	4
distance	log10prob_per_chr.5	#00ffff	#999999	5
distance	log10prob_per_chr.6	#00d2ff	#999999	6
distance	log10prob_per_chr.7	#00a5ff	#999999	7
distance	log10prob_per_chr.8	#0078ff	#999999	8
distance	log10prob_per_chr.9	#004bff	#999999	9
distance	log10prob_per_chr.X	#001eff	#999999	X
