distance	count.Inner	count.Outer	count.Right	count.Left	sum	log10count.Inner	log10count.Outer	log10count.Right	log10count.Left	log10sum	proportion.Inner	proportion.Outer	proportion.Right	proportion.Left	allpossible_sumcount	prob	log10prob	count_per_chr.1	count_per_chr.10	count_per_chr.11	count_per_chr.12	count_per_chr.13	count_per_chr.14	count_per_chr.15	count_per_chr.16	count_per_chr.17	count_per_chr.18	count_per_chr.19	count_per_chr.2	count_per_chr.20	count_per_chr.21	count_per_chr.22	count_per_chr.3	count_per_chr.4	count_per_chr.5	count_per_chr.6	count_per_chr.7	count_per_chr.8	count_per_chr.9	count_per_chr.X	count_per_chr.Y	allpossible_count_per_chr.1	allpossible_count_per_chr.10	allpossible_count_per_chr.11	allpossible_count_per_chr.12	allpossible_count_per_chr.13	allpossible_count_per_chr.14	allpossible_count_per_chr.15	allpossible_count_per_chr.16	allpossible_count_per_chr.17	allpossible_count_per_chr.18	allpossible_count_per_chr.19	allpossible_count_per_chr.2	allpossible_count_per_chr.20	allpossible_count_per_chr.21	allpossible_count_per_chr.22	allpossible_count_per_chr.3	allpossible_count_per_chr.4	allpossible_count_per_chr.5	allpossible_count_per_chr.6	allpossible_count_per_chr.7	allpossible_count_per_chr.8	allpossible_count_per_chr.9	allpossible_count_per_chr.X	allpossible_count_per_chr.Y	prob_per_chr.1	prob_per_chr.10	prob_per_chr.11	prob_per_chr.12	prob_per_chr.13	prob_per_chr.14	prob_per_chr.15	prob_per_chr.16	prob_per_chr.17	prob_per_chr.18	prob_per_chr.19	prob_per_chr.2	prob_per_chr.20	prob_per_chr.21	prob_per_chr.22	prob_per_chr.3	prob_per_chr.4	prob_per_chr.5	prob_per_chr.6	prob_per_chr.7	prob_per_chr.8	prob_per_chr.9	prob_per_chr.X	prob_per_chr.Y	log10prob_per_chr.1	log10prob_per_chr.10	log10prob_per_chr.11	log10prob_per_chr.12	log10prob_per_chr.13	log10prob_per_chr.14	log10prob_per_chr.15	log10prob_per_chr.16	log10prob_per_chr.17	log10prob_per_chr.18	log10prob_per_chr.19	log10prob_per_chr.2	log10prob_per_chr.20	log10prob_per_chr.21	log10prob_per_chr.22	log10prob_per_chr.3	log10prob_per_chr.4	log10prob_per_chr.5	log10prob_per_chr.6	log10prob_per_chr.7	log10prob_per_chr.8	log10prob_per_chr.9	log10prob_per_chr.X	log10prob_per_chr.Y
1.050	913	1279	86	110	2388	2.960	3.107	1.934	2.041	3.378	0.382	0.536	0.036	0.046	3.096E+09	2.979E-07	-6.526	5.490E+02	3.500E+02	7.600E+01	8.800E+01	1.700E+01	3.000E+01	3.900E+01	1.410E+02	7.200E+01	6.100E+01	1.550E+02	1.050E+02	3.400E+01	2.900E+01	4.000E+01	6.600E+01	9.700E+01	8.500E+01	1.070E+02	1.340E+02	6.400E+01	4.900E+01	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	8.507E-07	9.973E-07	2.174E-07	2.539E-07	5.701E-08	1.079E-07	1.469E-07	6.027E-07	3.425E-07	3.017E-07	1.012E-06	1.667E-07	2.083E-07	2.327E-07	3.011E-07	1.287E-07	1.960E-07	1.815E-07	2.415E-07	3.252E-07	1.689E-07	1.340E-07	0.000E+00	0.000E+00	-6.070	-6.001	-6.663	-6.595	-7.244	-6.967	-6.833	-6.220	-6.465	-6.520	-5.995	-6.778	-6.681	-6.633	-6.521	-6.890	-6.708	-6.741	-6.617	-6.488	-6.772	-6.873	-100.000	-100.000
1.150	798	1259	79	120	2256	2.902	3.100	1.898	2.079	3.353	0.354	0.558	0.035	0.053	3.096E+09	2.236E-07	-6.651	5.910E+02	3.260E+02	5.400E+01	8.100E+01	2.300E+01	3.200E+01	5.600E+01	9.900E+01	7.700E+01	6.100E+01	1.450E+02	1.030E+02	3.200E+01	2.000E+01	4.700E+01	6.100E+01	6.100E+01	5.800E+01	9.900E+01	1.080E+02	6.300E+01	5.900E+01	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	7.274E-07	7.379E-07	1.227E-07	1.856E-07	6.127E-08	9.145E-08	1.676E-07	3.361E-07	2.909E-07	2.397E-07	7.523E-07	1.299E-07	1.558E-07	1.275E-07	2.810E-07	9.450E-08	9.790E-08	9.835E-08	1.775E-07	2.082E-07	1.320E-07	1.282E-07	0.000E+00	0.000E+00	-6.138	-6.132	-6.911	-6.731	-7.213	-7.039	-6.776	-6.473	-6.536	-6.620	-6.124	-6.886	-6.808	-6.895	-6.551	-7.025	-7.009	-7.007	-6.751	-6.682	-6.879	-6.892	-100.000	-100.000
1.250	1206	1397	107	145	2855	3.081	3.145	2.029	2.161	3.456	0.422	0.489	0.037	0.051	3.096E+09	2.247E-07	-6.648	7.290E+02	4.470E+02	9.200E+01	9.800E+01	3.100E+01	2.800E+01	3.400E+01	1.730E+02	8.800E+01	7.300E+01	2.120E+02	1.210E+02	4.200E+01	4.700E+01	4.100E+01	7.300E+01	7.200E+01	9.900E+01	9.200E+01	1.330E+02	7.200E+01	5.800E+01	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	7.127E-07	8.037E-07	1.661E-07	1.784E-07	6.559E-08	6.356E-08	8.081E-08	4.666E-07	2.641E-07	2.278E-07	8.737E-07	1.212E-07	1.624E-07	2.380E-07	1.947E-07	8.983E-08	9.179E-08	1.333E-07	1.310E-07	2.037E-07	1.199E-07	1.001E-07	0.000E+00	0.000E+00	-6.147	-6.095	-6.780	-6.749	-7.183	-7.197	-7.093	-6.331	-6.578	-6.642	-6.059	-6.916	-6.789	-6.623	-6.711	-7.047	-7.037	-6.875	-6.883	-6.691	-6.921	-7.000	-100.000	-100.000
1.350	1897	2167	153	229	4446	3.278	3.336	2.185	2.360	3.648	0.427	0.487	0.034	0.052	3.096E+09	2.780E-07	-6.556	1.116E+03	6.950E+02	1.210E+02	1.450E+02	5.300E+01	4.900E+01	6.800E+01	2.560E+02	1.440E+02	9.300E+01	3.070E+02	2.160E+02	7.500E+01	5.400E+01	6.400E+01	1.350E+02	1.050E+02	1.210E+02	1.960E+02	2.060E+02	1.270E+02	1.000E+02	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	8.667E-07	9.926E-07	1.735E-07	2.097E-07	8.908E-08	8.835E-08	1.284E-07	5.484E-07	3.433E-07	2.306E-07	1.005E-06	1.719E-07	2.303E-07	2.172E-07	2.415E-07	1.320E-07	1.063E-07	1.295E-07	2.217E-07	2.506E-07	1.680E-07	1.371E-07	0.000E+00	0.000E+00	-6.062	-6.003	-6.761	-6.678	-7.050	-7.054	-6.892	-6.261	-6.464	-6.637	-5.998	-6.765	-6.638	-6.663	-6.617	-6.880	-6.973	-6.888	-6.654	-6.601	-6.775	-6.863	-100.000	-100.000
1.450	2135	2077	174	232	4618	3.329	3.317	2.241	2.365	3.664	0.462	0.450	0.038	0.050	3.096E+09	2.294E-07	-6.639	1.113E+03	6.960E+02	1.510E+02	1.600E+02	4.900E+01	6.100E+01	6.900E+01	2.580E+02	1.370E+02	1.130E+02	3.020E+02	2.310E+02	8.300E+01	6.900E+01	8.000E+01	1.170E+02	1.240E+02	1.620E+02	1.760E+02	2.290E+02	1.320E+02	1.060E+02	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	6.866E-07	7.896E-07	1.720E-07	1.838E-07	6.542E-08	8.737E-08	1.035E-07	4.390E-07	2.594E-07	2.225E-07	7.853E-07	1.460E-07	2.025E-07	2.204E-07	2.398E-07	9.084E-08	9.974E-08	1.377E-07	1.581E-07	2.213E-07	1.387E-07	1.154E-07	0.000E+00	0.000E+00	-6.163	-6.103	-6.765	-6.736	-7.184	-7.059	-6.985	-6.358	-6.586	-6.653	-6.105	-6.836	-6.694	-6.657	-6.620	-7.042	-7.001	-6.861	-6.801	-6.655	-6.858	-6.938	-100.000	-100.000
1.550	5860	2623	312	381	9176	3.768	3.419	2.494	2.581	3.963	0.639	0.286	0.034	0.042	3.096E+09	3.620E-07	-6.441	1.857E+03	1.184E+03	2.990E+02	3.570E+02	1.230E+02	1.230E+02	1.820E+02	4.870E+02	2.760E+02	2.080E+02	5.540E+02	5.070E+02	1.720E+02	1.440E+02	1.600E+02	3.590E+02	3.250E+02	3.810E+02	4.400E+02	5.030E+02	2.900E+02	2.450E+02	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	9.099E-07	1.067E-06	2.705E-07	3.257E-07	1.304E-07	1.399E-07	2.168E-07	6.583E-07	4.151E-07	3.254E-07	1.144E-06	2.546E-07	3.333E-07	3.654E-07	3.809E-07	2.214E-07	2.076E-07	2.572E-07	3.140E-07	3.860E-07	2.420E-07	2.119E-07	0.000E+00	0.000E+00	-6.041	-5.972	-6.568	-6.487	-6.885	-6.854	-6.664	-6.182	-6.382	-6.488	-5.941	-6.594	-6.477	-6.437	-6.419	-6.655	-6.683	-6.590	-6.503	-6.413	-6.616	-6.674	-100.000	-100.000
1.650	17050	3446	635	752	21883	4.232	3.537	2.803	2.876	4.340	0.779	0.157	0.029	0.034	3.096E+09	6.858E-07	-6.164	3.600E+03	2.135E+03	8.120E+02	9.390E+02	3.690E+02	3.990E+02	5.720E+02	1.014E+03	7.630E+02	4.530E+02	1.163E+03	1.429E+03	4.260E+02	2.920E+02	4.000E+02	1.040E+03	9.500E+02	1.130E+03	1.210E+03	1.243E+03	8.480E+02	6.960E+02	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	1.401E-06	1.528E-06	5.835E-07	6.806E-07	3.108E-07	3.606E-07	5.412E-07	1.089E-06	9.116E-07	5.629E-07	1.908E-06	5.700E-07	6.557E-07	5.886E-07	7.564E-07	5.095E-07	4.821E-07	6.059E-07	6.860E-07	7.577E-07	5.621E-07	4.781E-07	0.000E+00	0.000E+00	-5.854	-5.816	-6.234	-6.167	-6.507	-6.443	-6.267	-5.963	-6.040	-6.250	-5.719	-6.244	-6.183	-6.230	-6.121	-6.293	-6.317	-6.218	-6.164	-6.120	-6.250	-6.320	-100.000	-100.000
1.750	60349	3986	1577	1701	67613	4.781	3.601	3.198	3.231	4.830	0.893	0.059	0.023	0.025	3.096E+09	1.683E-06	-5.774	8.856E+03	4.621E+03	3.037E+03	3.107E+03	1.294E+03	1.418E+03	2.091E+03	2.830E+03	2.578E+03	1.528E+03	2.912E+03	4.977E+03	1.533E+03	9.650E+02	1.457E+03	3.745E+03	3.202E+03	3.666E+03	4.313E+03	4.303E+03	2.910E+03	2.270E+03	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	2.738E-06	2.627E-06	1.733E-06	1.789E-06	8.658E-07	1.018E-06	1.572E-06	2.414E-06	2.447E-06	1.508E-06	3.795E-06	1.577E-06	1.874E-06	1.545E-06	2.188E-06	1.457E-06	1.291E-06	1.562E-06	1.942E-06	2.084E-06	1.532E-06	1.239E-06	0.000E+00	0.000E+00	-5.563	-5.580	-5.761	-5.747	-6.063	-5.992	-5.804	-5.617	-5.611	-5.822	-5.421	-5.802	-5.727	-5.811	-5.660	-5.836	-5.889	-5.806	-5.712	-5.681	-5.815	-5.907	-100.000	-100.000
1.850	180568	5155	7568	7746	201037	5.257	3.712	3.879	3.889	5.303	0.898	0.026	0.038	0.039	3.096E+09	3.975E-06	-5.401	2.386E+04	1.164E+04	9.461E+03	9.479E+03	3.944E+03	4.380E+03	6.568E+03	8.192E+03	7.965E+03	4.404E+03	8.157E+03	1.509E+04	4.802E+03	2.871E+03	4.486E+03	1.160E+04	9.672E+03	1.137E+04	1.306E+04	1.382E+04	9.022E+03	7.200E+03	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	5.859E-06	5.258E-06	4.290E-06	4.335E-06	2.096E-06	2.497E-06	3.921E-06	5.550E-06	6.005E-06	3.453E-06	8.444E-06	3.798E-06	4.664E-06	3.651E-06	5.352E-06	3.586E-06	3.097E-06	3.847E-06	4.670E-06	5.314E-06	3.773E-06	3.121E-06	0.000E+00	0.000E+00	-5.232	-5.279	-5.368	-5.363	-5.679	-5.603	-5.407	-5.256	-5.222	-5.462	-5.073	-5.420	-5.331	-5.438	-5.271	-5.445	-5.509	-5.415	-5.331	-5.275	-5.423	-5.506	-100.000	-100.000
1.950	319196	6706	13572	13626	353100	5.504	3.826	4.133	4.134	5.548	0.904	0.019	0.038	0.039	3.096E+09	5.546E-06	-5.256	4.191E+04	1.941E+04	1.661E+04	1.674E+04	6.824E+03	7.728E+03	1.177E+04	1.429E+04	1.419E+04	7.315E+03	1.407E+04	2.671E+04	8.243E+03	5.219E+03	8.371E+03	2.049E+04	1.708E+04	1.998E+04	2.324E+04	2.425E+04	1.570E+04	1.295E+04	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	8.176E-06	6.963E-06	5.982E-06	6.080E-06	2.881E-06	3.500E-06	5.583E-06	7.690E-06	8.498E-06	4.555E-06	1.157E-05	5.339E-06	6.359E-06	5.272E-06	7.933E-06	5.031E-06	4.344E-06	5.371E-06	6.604E-06	7.408E-06	5.217E-06	4.459E-06	0.000E+00	0.000E+00	-5.087	-5.157	-5.223	-5.216	-5.540	-5.456	-5.253	-5.114	-5.071	-5.341	-4.937	-5.273	-5.197	-5.278	-5.101	-5.298	-5.362	-5.270	-5.180	-5.130	-5.283	-5.351	-100.000	-100.000
