distance	distance_range(bp)	count.Inner	count.Outer	count.Right	count.Left	sum	log10count.Inner	log10count.Outer	log10count.Right	log10count.Left	log10sum	proportion.Inner	proportion.Outer	proportion.Right	proportion.Left	allpossible_sumcount	prob	log10prob	count_per_chr.1	count_per_chr.10	count_per_chr.11	count_per_chr.12	count_per_chr.13	count_per_chr.14	count_per_chr.15	count_per_chr.16	count_per_chr.17	count_per_chr.18	count_per_chr.19	count_per_chr.2	count_per_chr.20	count_per_chr.21	count_per_chr.22	count_per_chr.3	count_per_chr.4	count_per_chr.5	count_per_chr.6	count_per_chr.7	count_per_chr.8	count_per_chr.9	count_per_chr.X	allpossible_count_per_chr.1	allpossible_count_per_chr.10	allpossible_count_per_chr.11	allpossible_count_per_chr.12	allpossible_count_per_chr.13	allpossible_count_per_chr.14	allpossible_count_per_chr.15	allpossible_count_per_chr.16	allpossible_count_per_chr.17	allpossible_count_per_chr.18	allpossible_count_per_chr.19	allpossible_count_per_chr.2	allpossible_count_per_chr.20	allpossible_count_per_chr.21	allpossible_count_per_chr.22	allpossible_count_per_chr.3	allpossible_count_per_chr.4	allpossible_count_per_chr.5	allpossible_count_per_chr.6	allpossible_count_per_chr.7	allpossible_count_per_chr.8	allpossible_count_per_chr.9	allpossible_count_per_chr.X	prob_per_chr.1	prob_per_chr.10	prob_per_chr.11	prob_per_chr.12	prob_per_chr.13	prob_per_chr.14	prob_per_chr.15	prob_per_chr.16	prob_per_chr.17	prob_per_chr.18	prob_per_chr.19	prob_per_chr.2	prob_per_chr.20	prob_per_chr.21	prob_per_chr.22	prob_per_chr.3	prob_per_chr.4	prob_per_chr.5	prob_per_chr.6	prob_per_chr.7	prob_per_chr.8	prob_per_chr.9	prob_per_chr.X	log10prob_per_chr.1	log10prob_per_chr.10	log10prob_per_chr.11	log10prob_per_chr.12	log10prob_per_chr.13	log10prob_per_chr.14	log10prob_per_chr.15	log10prob_per_chr.16	log10prob_per_chr.17	log10prob_per_chr.18	log10prob_per_chr.19	log10prob_per_chr.2	log10prob_per_chr.20	log10prob_per_chr.21	log10prob_per_chr.22	log10prob_per_chr.3	log10prob_per_chr.4	log10prob_per_chr.5	log10prob_per_chr.6	log10prob_per_chr.7	log10prob_per_chr.8	log10prob_per_chr.9	log10prob_per_chr.X
1.050	10~13	2	1	0	0	3	0.301	0.000	-100.000	-100.000	0.477	0.667	0.333	0.000	0.000	3.036E+09	3.816E-10	-9.418	3.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	4.648E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-8.333	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000
1.150	13~16	2	4	0	0	6	0.301	0.602	-100.000	-100.000	0.778	0.333	0.667	0.000	0.000	3.036E+09	6.062E-10	-9.217	5.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	6.154E-09	0.000E+00	0.000E+00	2.292E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-8.211	-100.000	-100.000	-8.640	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000
1.250	16~20	5	4	0	0	9	0.699	0.602	-100.000	-100.000	0.954	0.556	0.444	0.000	0.000	3.036E+09	7.223E-10	-9.141	7.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	6.844E-09	1.798E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.424E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-8.165	-8.745	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-8.846	-100.000	-100.000	-100.000	-100.000
1.350	20~25	7	6	0	1	14	0.845	0.778	-100.000	0.000	1.146	0.500	0.429	0.000	0.071	3.036E+09	8.925E-10	-9.049	1.200E+01	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	9.319E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.888E-09	0.000E+00	0.000E+00	2.479E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-8.031	-100.000	-100.000	-100.000	-100.000	-100.000	-8.724	-100.000	-100.000	-8.606	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000
1.450	25~32	9	11	0	1	21	0.954	1.041	-100.000	0.000	1.322	0.429	0.524	0.000	0.048	3.036E+09	1.063E-09	-8.973	1.500E+01	1.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	1.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	9.253E-09	1.134E-09	0.000E+00	0.000E+00	0.000E+00	1.432E-09	0.000E+00	1.702E-09	0.000E+00	1.969E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	8.043E-10	0.000E+00	0.000E+00	0.000E+00	1.050E-09	0.000E+00	0.000E+00	-8.034	-8.945	-100.000	-100.000	-100.000	-8.844	-100.000	-8.769	-100.000	-8.706	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-9.095	-100.000	-100.000	-100.000	-8.979	-100.000	-100.000
1.550	32~40	18	6	0	2	26	1.255	0.778	-100.000	0.301	1.415	0.692	0.231	0.000	0.077	3.036E+09	1.046E-09	-8.981	1.700E+01	1.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	2.000E+00	2.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	8.330E-09	9.011E-10	0.000E+00	0.000E+00	1.060E-09	0.000E+00	0.000E+00	1.352E-09	0.000E+00	0.000E+00	4.131E-09	1.004E-09	1.938E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	8.344E-10	0.000E+00	0.000E+00	-8.079	-9.045	-100.000	-100.000	-8.975	-100.000	-100.000	-8.869	-100.000	-100.000	-8.384	-8.998	-8.713	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-9.079	-100.000	-100.000
1.650	40~50	23	11	2	3	39	1.362	1.041	0.301	0.477	1.591	0.590	0.282	0.051	0.077	3.036E+09	1.246E-09	-8.904	2.600E+01	0.000E+00	1.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.000E+00	1.000E+00	0.000E+00	2.000E+00	1.000E+00	0.000E+00	1.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	1.000E+00	1.000E+00	1.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	1.012E-08	0.000E+00	7.186E-10	7.248E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.390E-09	1.243E-09	0.000E+00	7.978E-10	1.539E-09	0.000E+00	1.891E-09	0.000E+00	5.075E-10	0.000E+00	0.000E+00	6.096E-10	6.628E-10	6.870E-10	0.000E+00	-7.995	-100.000	-9.144	-9.140	-100.000	-100.000	-100.000	-100.000	-8.622	-8.906	-100.000	-9.098	-8.813	-100.000	-8.723	-100.000	-9.295	-100.000	-100.000	-9.215	-9.179	-9.163	-100.000
1.750	50~63	32	4	6	3	45	1.505	0.602	0.778	0.477	1.653	0.711	0.089	0.133	0.067	3.036E+09	1.142E-09	-8.942	2.500E+01	2.000E+00	0.000E+00	1.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	2.000E+00	1.000E+00	0.000E+00	1.000E+00	0.000E+00	1.000E+00	2.000E+00	1.000E+00	0.000E+00	1.000E+00	2.000E+00	3.000E+00	1.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	7.729E-09	1.137E-09	0.000E+00	5.757E-10	6.691E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	9.870E-10	2.606E-09	3.169E-10	0.000E+00	1.601E-09	0.000E+00	3.891E-10	8.063E-10	4.259E-10	0.000E+00	4.842E-10	1.053E-09	1.637E-09	4.963E-10	-8.112	-8.944	-100.000	-9.240	-9.175	-100.000	-100.000	-100.000	-100.000	-9.006	-8.584	-9.499	-100.000	-8.796	-100.000	-9.410	-9.094	-9.371	-100.000	-9.315	-8.978	-8.786	-9.304
1.850	63~79	44	15	26	23	108	1.643	1.176	1.415	1.362	2.033	0.407	0.139	0.241	0.213	3.036E+09	2.177E-09	-8.662	4.600E+01	8.000E+00	3.000E+00	5.000E+00	3.000E+00	1.000E+00	1.000E+00	4.000E+00	1.000E+00	3.000E+00	2.000E+00	4.000E+00	0.000E+00	1.000E+00	0.000E+00	9.000E+00	1.000E+00	2.000E+00	1.000E+00	3.000E+00	5.000E+00	1.000E+00	4.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	1.130E-08	3.613E-09	1.360E-09	2.286E-09	1.594E-09	5.702E-10	5.970E-10	2.710E-09	7.539E-10	2.352E-09	2.070E-09	1.007E-09	0.000E+00	1.272E-09	0.000E+00	2.782E-09	3.202E-10	6.767E-10	3.577E-10	1.154E-09	2.091E-09	4.335E-10	1.577E-09	-7.947	-8.442	-8.866	-8.641	-8.797	-9.244	-9.224	-8.567	-9.123	-8.629	-8.684	-8.997	-100.000	-8.896	-100.000	-8.556	-9.495	-9.170	-9.446	-8.938	-8.680	-9.363	-8.802
1.950	79~100	54	11	40	26	131	1.732	1.041	1.602	1.415	2.117	0.412	0.084	0.305	0.198	3.036E+09	2.098E-09	-8.678	5.200E+01	1.100E+01	2.000E+00	5.000E+00	2.000E+00	4.000E+00	1.000E+00	4.000E+00	4.000E+00	2.000E+00	2.000E+00	4.000E+00	1.000E+00	2.000E+00	0.000E+00	3.000E+00	5.000E+00	5.000E+00	4.000E+00	5.000E+00	5.000E+00	5.000E+00	3.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	1.014E-08	3.946E-09	7.203E-10	1.816E-09	8.443E-10	1.812E-09	4.742E-10	2.152E-09	2.395E-09	1.245E-09	1.645E-09	7.997E-10	7.715E-10	2.020E-09	0.000E+00	7.366E-10	1.272E-09	1.344E-09	1.137E-09	1.528E-09	1.661E-09	1.722E-09	9.394E-10	-7.994	-8.404	-9.142	-8.741	-9.073	-8.742	-9.324	-8.667	-8.621	-8.905	-8.784	-9.097	-9.113	-8.695	-100.000	-9.133	-8.896	-8.872	-8.944	-8.816	-8.780	-8.764	-9.027
